Semana,Año,PedernalEnTejada,SobranteEnPinadero,AlicahueEnColliguay
19-Mar,2030,0.011,0.072,0.073
26-Mar,2030,0.012,0.071,0.072
2-Apr,2030,0.012,0.071,0.071
9-Apr,2030,0.012,0.07,0.071
16-Apr,2030,0.011,0.069,0.07
23-Apr,2030,0.012,0.068,0.069
30-Apr,2030,0.011,0.067,0.068
7-May,2030,0.012,0.066,0.067
14-May,2030,0.012,0.065,0.067
21-May,2030,0.013,0.064,0.066
28-May,2030,0.012,0.064,0.066
4-Jun,2030,0.013,0.065,0.065
11-Jun,2030,0.013,0.065,0.065
18-Jun,2030,0.013,0.092,0.069
25-Jun,2030,0.012,0.11,0.081
2-Jul,2030,0.013,0.12,0.11
9-Jul,2030,0.012,0.111,0.094
16-Jul,2030,0.012,0.097,0.125
23-Jul,2030,0.012,0.116,0.116
30-Jul,2030,0.012,0.117,0.109
6-Aug,2030,0.012,0.104,0.103
13-Aug,2030,0.012,0.098,0.098
20-Aug,2030,0.012,0.093,0.095
27-Aug,2030,0.012,0.092,0.1
3-Sep,2030,0.012,0.091,0.097
10-Sep,2030,0.017,0.088,0.095
17-Sep,2030,0.023,0.086,0.09
24-Sep,2030,0.026,0.097,0.125
1-Oct,2030,0.023,0.087,0.097
8-Oct,2030,0.029,0.151,0.152
15-Oct,2030,0.02,0.11,0.11
22-Oct,2030,0.018,0.131,0.105
29-Oct,2030,0.017,0.115,0.097
5-Nov,2030,0.017,0.119,0.092
12-Nov,2030,0.015,0.1,0.087
19-Nov,2030,0.015,0.089,0.084
26-Nov,2030,0.012,0.085,0.081
3-Dec,2030,0.014,0.082,0.079
10-Dec,2030,0.011,0.079,0.078
17-Dec,2030,0.012,0.077,0.076
24-Dec,2030,0.009,0.065,0.065
1-Jan,2031,0.013,0.092,0.085
8-Jan,2031,0.01,0.089,0.083
15-Jan,2031,0.011,0.086,0.082
22-Jan,2031,0.01,0.083,0.08
29-Jan,2031,0.012,0.081,0.079
5-Feb,2031,0.01,0.079,0.078
12-Feb,2031,0.012,0.077,0.077
19-Feb,2031,0.01,0.076,0.076
26-Feb,2031,0.011,0.066,0.072
5-Mar,2031,0.01,0.073,0.074
12-Mar,2031,0.012,0.072,0.073
19-Mar,2031,0.011,0.072,0.073
26-Mar,2031,0.012,0.071,0.072
2-Apr,2031,0.012,0.071,0.071
9-Apr,2031,0.012,0.07,0.071
16-Apr,2031,0.011,0.069,0.07
23-Apr,2031,0.012,0.068,0.069
30-Apr,2031,0.011,0.067,0.068
7-May,2031,0.012,0.066,0.067
14-May,2031,0.012,0.065,0.067
21-May,2031,0.013,0.064,0.066
28-May,2031,0.012,0.064,0.066
4-Jun,2031,0.013,0.065,0.065
11-Jun,2031,0.013,0.065,0.065
18-Jun,2031,0.013,0.092,0.069
25-Jun,2031,0.012,0.11,0.081
2-Jul,2031,0.013,0.12,0.11
9-Jul,2031,0.012,0.111,0.094
16-Jul,2031,0.012,0.097,0.125
23-Jul,2031,0.012,0.116,0.116
30-Jul,2031,0.012,0.117,0.109
6-Aug,2031,0.012,0.104,0.103
13-Aug,2031,0.012,0.098,0.098
20-Aug,2031,0.012,0.093,0.095
27-Aug,2031,0.012,0.092,0.1
3-Sep,2031,0.012,0.091,0.097
10-Sep,2031,0.017,0.088,0.095
17-Sep,2031,0.023,0.086,0.09
24-Sep,2031,0.026,0.097,0.125
1-Oct,2031,0.023,0.087,0.097
8-Oct,2031,0.029,0.151,0.152
15-Oct,2031,0.02,0.11,0.11
22-Oct,2031,0.018,0.131,0.105
29-Oct,2031,0.017,0.115,0.097
5-Nov,2031,0.017,0.119,0.092
12-Nov,2031,0.015,0.1,0.087
19-Nov,2031,0.015,0.089,0.084
26-Nov,2031,0.012,0.085,0.081
3-Dec,2031,0.014,0.082,0.079
10-Dec,2031,0.011,0.079,0.078
17-Dec,2031,0.012,0.077,0.076
24-Dec,2031,0.009,0.065,0.065
1-Jan,2032,0.013,0.092,0.085
8-Jan,2032,0.01,0.089,0.083
15-Jan,2032,0.011,0.086,0.082
22-Jan,2032,0.01,0.083,0.08
29-Jan,2032,0.012,0.081,0.079
5-Feb,2032,0.01,0.079,0.078
12-Feb,2032,0.012,0.077,0.077
19-Feb,2032,0.01,0.076,0.076
26-Feb,2032,0.011,0.066,0.072
5-Mar,2032,0.01,0.073,0.074
12-Mar,2032,0.012,0.072,0.073
19-Mar,2032,0.011,0.072,0.073
26-Mar,2032,0.012,0.071,0.072
2-Apr,2032,0.012,0.071,0.071
9-Apr,2032,0.012,0.07,0.071
16-Apr,2032,0.011,0.069,0.07
23-Apr,2032,0.012,0.068,0.069
30-Apr,2032,0.011,0.067,0.068
7-May,2032,0.012,0.066,0.067
14-May,2032,0.012,0.065,0.067
21-May,2032,0.013,0.064,0.066
28-May,2032,0.012,0.064,0.066
4-Jun,2032,0.013,0.065,0.065
11-Jun,2032,0.013,0.065,0.065
18-Jun,2032,0.013,0.092,0.069
25-Jun,2032,0.012,0.11,0.081
2-Jul,2032,0.013,0.12,0.11
9-Jul,2032,0.012,0.111,0.094
16-Jul,2032,0.012,0.097,0.125
23-Jul,2032,0.012,0.116,0.116
30-Jul,2032,0.012,0.117,0.109
6-Aug,2032,0.012,0.104,0.103
13-Aug,2032,0.012,0.098,0.098
20-Aug,2032,0.012,0.093,0.095
27-Aug,2032,0.012,0.092,0.1
3-Sep,2032,0.012,0.091,0.097
10-Sep,2032,0.017,0.088,0.095
17-Sep,2032,0.023,0.086,0.09
24-Sep,2032,0.026,0.097,0.125
1-Oct,2032,0.023,0.087,0.097
8-Oct,2032,0.029,0.151,0.152
15-Oct,2032,0.02,0.11,0.11
22-Oct,2032,0.018,0.131,0.105
29-Oct,2032,0.017,0.115,0.097
5-Nov,2032,0.017,0.119,0.092
12-Nov,2032,0.015,0.1,0.087
19-Nov,2032,0.015,0.089,0.084
26-Nov,2032,0.012,0.085,0.081
3-Dec,2032,0.014,0.082,0.079
10-Dec,2032,0.011,0.079,0.078
17-Dec,2032,0.012,0.077,0.076
24-Dec,2032,0.009,0.065,0.065
1-Jan,2033,0.013,0.092,0.085
8-Jan,2033,0.01,0.089,0.083
15-Jan,2033,0.011,0.086,0.082
22-Jan,2033,0.01,0.083,0.08
29-Jan,2033,0.012,0.081,0.079
5-Feb,2033,0.01,0.079,0.078
12-Feb,2033,0.012,0.077,0.077
19-Feb,2033,0.01,0.076,0.076
26-Feb,2033,0.011,0.066,0.072
5-Mar,2033,0.01,0.073,0.074
12-Mar,2033,0.012,0.072,0.073
19-Mar,2033,0.011,0.072,0.073
26-Mar,2033,0.012,0.071,0.072
2-Apr,2033,0.012,0.071,0.071
9-Apr,2033,0.012,0.07,0.071
16-Apr,2033,0.011,0.069,0.07
23-Apr,2033,0.012,0.068,0.069
30-Apr,2033,0.011,0.067,0.068
7-May,2033,0.012,0.066,0.067
14-May,2033,0.012,0.065,0.067
21-May,2033,0.013,0.064,0.066
28-May,2033,0.012,0.064,0.066
4-Jun,2033,0.013,0.065,0.065
11-Jun,2033,0.013,0.065,0.065
18-Jun,2033,0.013,0.092,0.069
25-Jun,2033,0.012,0.11,0.081
2-Jul,2033,0.013,0.12,0.11
9-Jul,2033,0.012,0.111,0.094
16-Jul,2033,0.012,0.097,0.125
23-Jul,2033,0.012,0.116,0.116
30-Jul,2033,0.012,0.117,0.109
6-Aug,2033,0.012,0.104,0.103
13-Aug,2033,0.012,0.098,0.098
20-Aug,2033,0.012,0.093,0.095
27-Aug,2033,0.012,0.092,0.1
3-Sep,2033,0.012,0.091,0.097
10-Sep,2033,0.017,0.088,0.095
17-Sep,2033,0.023,0.086,0.09
24-Sep,2033,0.026,0.097,0.125
1-Oct,2033,0.023,0.087,0.097
8-Oct,2033,0.029,0.151,0.152
15-Oct,2033,0.02,0.11,0.11
22-Oct,2033,0.018,0.131,0.105
29-Oct,2033,0.017,0.115,0.097
5-Nov,2033,0.017,0.119,0.092
12-Nov,2033,0.015,0.1,0.087
19-Nov,2033,0.015,0.089,0.084
26-Nov,2033,0.012,0.085,0.081
3-Dec,2033,0.014,0.082,0.079
10-Dec,2033,0.011,0.079,0.078
17-Dec,2033,0.012,0.077,0.076
24-Dec,2033,0.009,0.065,0.065
1-Jan,2034,0.013,0.092,0.085
8-Jan,2034,0.01,0.089,0.083
15-Jan,2034,0.011,0.086,0.082
22-Jan,2034,0.01,0.083,0.08
29-Jan,2034,0.012,0.081,0.079
5-Feb,2034,0.01,0.079,0.078
12-Feb,2034,0.012,0.077,0.077
19-Feb,2034,0.01,0.076,0.076
26-Feb,2034,0.011,0.066,0.072
5-Mar,2034,0.01,0.073,0.074
12-Mar,2034,0.012,0.072,0.073
19-Mar,2034,0.011,0.072,0.073
26-Mar,2034,0.012,0.071,0.072
2-Apr,2034,0.012,0.071,0.071
9-Apr,2034,0.012,0.07,0.071
16-Apr,2034,0.011,0.069,0.07
23-Apr,2034,0.012,0.068,0.069
30-Apr,2034,0.011,0.067,0.068
7-May,2034,0.012,0.066,0.067
14-May,2034,0.012,0.065,0.067
21-May,2034,0.013,0.064,0.066
28-May,2034,0.012,0.064,0.066
4-Jun,2034,0.013,0.065,0.065
11-Jun,2034,0.013,0.065,0.065
18-Jun,2034,0.013,0.092,0.069
25-Jun,2034,0.012,0.11,0.081
2-Jul,2034,0.013,0.12,0.11
9-Jul,2034,0.012,0.111,0.094
16-Jul,2034,0.012,0.097,0.125
23-Jul,2034,0.012,0.116,0.116
30-Jul,2034,0.012,0.117,0.109
6-Aug,2034,0.012,0.104,0.103
13-Aug,2034,0.012,0.098,0.098
20-Aug,2034,0.012,0.093,0.095
27-Aug,2034,0.012,0.092,0.1
3-Sep,2034,0.012,0.091,0.097
10-Sep,2034,0.017,0.088,0.095
17-Sep,2034,0.023,0.086,0.09
24-Sep,2034,0.026,0.097,0.125
1-Oct,2034,0.023,0.087,0.097
8-Oct,2034,0.029,0.151,0.152
15-Oct,2034,0.02,0.11,0.11
22-Oct,2034,0.018,0.131,0.105
29-Oct,2034,0.017,0.115,0.097
5-Nov,2034,0.017,0.119,0.092
12-Nov,2034,0.015,0.1,0.087
19-Nov,2034,0.015,0.089,0.084
26-Nov,2034,0.012,0.085,0.081
3-Dec,2034,0.014,0.082,0.079
10-Dec,2034,0.011,0.079,0.078
17-Dec,2034,0.012,0.077,0.076
24-Dec,2034,0.009,0.065,0.065
1-Jan,2035,0.013,0.092,0.085
8-Jan,2035,0.01,0.089,0.083
15-Jan,2035,0.011,0.086,0.082
22-Jan,2035,0.01,0.083,0.08
29-Jan,2035,0.012,0.081,0.079
5-Feb,2035,0.01,0.079,0.078
12-Feb,2035,0.012,0.077,0.077
19-Feb,2035,0.01,0.076,0.076
26-Feb,2035,0.011,0.066,0.072
5-Mar,2035,0.01,0.073,0.074
12-Mar,2035,0.012,0.072,0.073
19-Mar,2035,0.011,0.072,0.073
26-Mar,2035,0.012,0.071,0.072
2-Apr,2035,0.012,0.071,0.071
9-Apr,2035,0.012,0.07,0.071
16-Apr,2035,0.011,0.069,0.07
23-Apr,2035,0.012,0.068,0.069
30-Apr,2035,0.011,0.067,0.068
7-May,2035,0.012,0.066,0.067
14-May,2035,0.012,0.065,0.067
21-May,2035,0.013,0.064,0.066
28-May,2035,0.012,0.064,0.066
4-Jun,2035,0.013,0.065,0.065
11-Jun,2035,0.013,0.065,0.065
18-Jun,2035,0.013,0.092,0.069
25-Jun,2035,0.012,0.11,0.081
2-Jul,2035,0.013,0.12,0.11
9-Jul,2035,0.012,0.111,0.094
16-Jul,2035,0.012,0.097,0.125
23-Jul,2035,0.012,0.116,0.116
30-Jul,2035,0.012,0.117,0.109
6-Aug,2035,0.012,0.104,0.103
13-Aug,2035,0.012,0.098,0.098
20-Aug,2035,0.012,0.093,0.095
27-Aug,2035,0.012,0.092,0.1
3-Sep,2035,0.012,0.091,0.097
10-Sep,2035,0.017,0.088,0.095
17-Sep,2035,0.023,0.086,0.09
24-Sep,2035,0.026,0.097,0.125
1-Oct,2035,0.023,0.087,0.097
8-Oct,2035,0.029,0.151,0.152
15-Oct,2035,0.02,0.11,0.11
22-Oct,2035,0.018,0.131,0.105
29-Oct,2035,0.017,0.115,0.097
5-Nov,2035,0.017,0.119,0.092
12-Nov,2035,0.015,0.1,0.087
19-Nov,2035,0.015,0.089,0.084
26-Nov,2035,0.012,0.085,0.081
3-Dec,2035,0.014,0.082,0.079
10-Dec,2035,0.011,0.079,0.078
17-Dec,2035,0.012,0.077,0.076
24-Dec,2035,0.009,0.065,0.065
1-Jan,2036,0.013,0.092,0.085
8-Jan,2036,0.01,0.089,0.083
15-Jan,2036,0.011,0.086,0.082
22-Jan,2036,0.01,0.083,0.08
29-Jan,2036,0.012,0.081,0.079
5-Feb,2036,0.01,0.079,0.078
12-Feb,2036,0.012,0.077,0.077
19-Feb,2036,0.01,0.076,0.076
26-Feb,2036,0.011,0.066,0.072
5-Mar,2036,0.01,0.073,0.074
12-Mar,2036,0.012,0.072,0.073
19-Mar,2036,0.011,0.072,0.073
26-Mar,2036,0.012,0.071,0.072
2-Apr,2036,0.012,0.071,0.071
9-Apr,2036,0.012,0.07,0.071
16-Apr,2036,0.011,0.069,0.07
23-Apr,2036,0.012,0.068,0.069
30-Apr,2036,0.011,0.067,0.068
7-May,2036,0.012,0.066,0.067
14-May,2036,0.012,0.065,0.067
21-May,2036,0.013,0.064,0.066
28-May,2036,0.012,0.064,0.066
4-Jun,2036,0.013,0.065,0.065
11-Jun,2036,0.013,0.065,0.065
18-Jun,2036,0.013,0.092,0.069
25-Jun,2036,0.012,0.11,0.081
2-Jul,2036,0.013,0.12,0.11
9-Jul,2036,0.012,0.111,0.094
16-Jul,2036,0.012,0.097,0.125
23-Jul,2036,0.012,0.116,0.116
30-Jul,2036,0.012,0.117,0.109
6-Aug,2036,0.012,0.104,0.103
13-Aug,2036,0.012,0.098,0.098
20-Aug,2036,0.012,0.093,0.095
27-Aug,2036,0.012,0.092,0.1
3-Sep,2036,0.012,0.091,0.097
10-Sep,2036,0.017,0.088,0.095
17-Sep,2036,0.023,0.086,0.09
24-Sep,2036,0.026,0.097,0.125
1-Oct,2036,0.023,0.087,0.097
8-Oct,2036,0.029,0.151,0.152
15-Oct,2036,0.02,0.11,0.11
22-Oct,2036,0.018,0.131,0.105
29-Oct,2036,0.017,0.115,0.097
5-Nov,2036,0.017,0.119,0.092
12-Nov,2036,0.015,0.1,0.087
19-Nov,2036,0.015,0.089,0.084
26-Nov,2036,0.012,0.085,0.081
3-Dec,2036,0.014,0.082,0.079
10-Dec,2036,0.011,0.079,0.078
17-Dec,2036,0.012,0.077,0.076
24-Dec,2036,0.009,0.065,0.065
1-Jan,2037,0.013,0.092,0.085
8-Jan,2037,0.01,0.089,0.083
15-Jan,2037,0.011,0.086,0.082
22-Jan,2037,0.01,0.083,0.08
29-Jan,2037,0.012,0.081,0.079
5-Feb,2037,0.01,0.079,0.078
12-Feb,2037,0.012,0.077,0.077
19-Feb,2037,0.01,0.076,0.076
26-Feb,2037,0.011,0.066,0.072
5-Mar,2037,0.01,0.073,0.074
12-Mar,2037,0.012,0.072,0.073
19-Mar,2037,0.011,0.072,0.073
26-Mar,2037,0.012,0.071,0.072
2-Apr,2037,0.012,0.071,0.071
9-Apr,2037,0.012,0.07,0.071
16-Apr,2037,0.011,0.069,0.07
23-Apr,2037,0.012,0.068,0.069
30-Apr,2037,0.011,0.067,0.068
7-May,2037,0.012,0.066,0.067
14-May,2037,0.012,0.065,0.067
21-May,2037,0.013,0.064,0.066
28-May,2037,0.012,0.064,0.066
4-Jun,2037,0.013,0.065,0.065
11-Jun,2037,0.013,0.065,0.065
18-Jun,2037,0.013,0.092,0.069
25-Jun,2037,0.012,0.11,0.081
2-Jul,2037,0.013,0.12,0.11
9-Jul,2037,0.012,0.111,0.094
16-Jul,2037,0.012,0.097,0.125
23-Jul,2037,0.012,0.116,0.116
30-Jul,2037,0.012,0.117,0.109
6-Aug,2037,0.012,0.104,0.103
13-Aug,2037,0.012,0.098,0.098
20-Aug,2037,0.012,0.093,0.095
27-Aug,2037,0.012,0.092,0.1
3-Sep,2037,0.012,0.091,0.097
10-Sep,2037,0.017,0.088,0.095
17-Sep,2037,0.023,0.086,0.09
24-Sep,2037,0.026,0.097,0.125
1-Oct,2037,0.023,0.087,0.097
8-Oct,2037,0.029,0.151,0.152
15-Oct,2037,0.02,0.11,0.11
22-Oct,2037,0.018,0.131,0.105
29-Oct,2037,0.017,0.115,0.097
5-Nov,2037,0.017,0.119,0.092
12-Nov,2037,0.015,0.1,0.087
19-Nov,2037,0.015,0.089,0.084
26-Nov,2037,0.012,0.085,0.081
3-Dec,2037,0.014,0.082,0.079
10-Dec,2037,0.011,0.079,0.078
17-Dec,2037,0.012,0.077,0.076
24-Dec,2037,0.009,0.065,0.065
1-Jan,2038,0.013,0.092,0.085
8-Jan,2038,0.01,0.089,0.083
15-Jan,2038,0.011,0.086,0.082
22-Jan,2038,0.01,0.083,0.08
29-Jan,2038,0.012,0.081,0.079
5-Feb,2038,0.01,0.079,0.078
12-Feb,2038,0.012,0.077,0.077
19-Feb,2038,0.01,0.076,0.076
26-Feb,2038,0.011,0.066,0.072
5-Mar,2038,0.01,0.073,0.074
12-Mar,2038,0.012,0.072,0.073
19-Mar,2038,0.011,0.072,0.073
26-Mar,2038,0.012,0.071,0.072
2-Apr,2038,0.012,0.071,0.071
9-Apr,2038,0.012,0.07,0.071
16-Apr,2038,0.011,0.069,0.07
23-Apr,2038,0.012,0.068,0.069
30-Apr,2038,0.011,0.067,0.068
7-May,2038,0.012,0.066,0.067
14-May,2038,0.012,0.065,0.067
21-May,2038,0.013,0.064,0.066
28-May,2038,0.012,0.064,0.066
4-Jun,2038,0.013,0.065,0.065
11-Jun,2038,0.013,0.065,0.065
18-Jun,2038,0.013,0.092,0.069
25-Jun,2038,0.012,0.11,0.081
2-Jul,2038,0.013,0.12,0.11
9-Jul,2038,0.012,0.111,0.094
16-Jul,2038,0.012,0.097,0.125
23-Jul,2038,0.012,0.116,0.116
30-Jul,2038,0.012,0.117,0.109
6-Aug,2038,0.012,0.104,0.103
13-Aug,2038,0.012,0.098,0.098
20-Aug,2038,0.012,0.093,0.095
27-Aug,2038,0.012,0.092,0.1
3-Sep,2038,0.012,0.091,0.097
10-Sep,2038,0.017,0.088,0.095
17-Sep,2038,0.023,0.086,0.09
24-Sep,2038,0.026,0.097,0.125
1-Oct,2038,0.023,0.087,0.097
8-Oct,2038,0.029,0.151,0.152
15-Oct,2038,0.02,0.11,0.11
22-Oct,2038,0.018,0.131,0.105
29-Oct,2038,0.017,0.115,0.097
5-Nov,2038,0.017,0.119,0.092
12-Nov,2038,0.015,0.1,0.087
19-Nov,2038,0.015,0.089,0.084
26-Nov,2038,0.012,0.085,0.081
3-Dec,2038,0.014,0.082,0.079
10-Dec,2038,0.011,0.079,0.078
17-Dec,2038,0.012,0.077,0.076
24-Dec,2038,0.009,0.065,0.065
1-Jan,2039,0.013,0.092,0.085
8-Jan,2039,0.01,0.089,0.083
15-Jan,2039,0.011,0.086,0.082
22-Jan,2039,0.01,0.083,0.08
29-Jan,2039,0.012,0.081,0.079
5-Feb,2039,0.01,0.079,0.078
12-Feb,2039,0.012,0.077,0.077
19-Feb,2039,0.01,0.076,0.076
26-Feb,2039,0.011,0.066,0.072
5-Mar,2039,0.01,0.073,0.074
12-Mar,2039,0.012,0.072,0.073
19-Mar,2039,0.011,0.072,0.073
26-Mar,2039,0.012,0.071,0.072
2-Apr,2039,0.012,0.071,0.071
9-Apr,2039,0.012,0.07,0.071
16-Apr,2039,0.011,0.069,0.07
23-Apr,2039,0.012,0.068,0.069
30-Apr,2039,0.011,0.067,0.068
7-May,2039,0.012,0.066,0.067
14-May,2039,0.012,0.065,0.067
21-May,2039,0.013,0.064,0.066
28-May,2039,0.012,0.064,0.066
4-Jun,2039,0.013,0.065,0.065
11-Jun,2039,0.013,0.065,0.065
18-Jun,2039,0.013,0.092,0.069
25-Jun,2039,0.012,0.11,0.081
2-Jul,2039,0.013,0.12,0.11
9-Jul,2039,0.012,0.111,0.094
16-Jul,2039,0.012,0.097,0.125
23-Jul,2039,0.012,0.116,0.116
30-Jul,2039,0.012,0.117,0.109
6-Aug,2039,0.012,0.104,0.103
13-Aug,2039,0.012,0.098,0.098
20-Aug,2039,0.012,0.093,0.095
27-Aug,2039,0.012,0.092,0.1
3-Sep,2039,0.012,0.091,0.097
10-Sep,2039,0.017,0.088,0.095
17-Sep,2039,0.023,0.086,0.09
24-Sep,2039,0.026,0.097,0.125
1-Oct,2039,0.023,0.087,0.097
8-Oct,2039,0.029,0.151,0.152
15-Oct,2039,0.02,0.11,0.11
22-Oct,2039,0.018,0.131,0.105
29-Oct,2039,0.017,0.115,0.097
5-Nov,2039,0.017,0.119,0.092
12-Nov,2039,0.015,0.1,0.087
19-Nov,2039,0.015,0.089,0.084
26-Nov,2039,0.012,0.085,0.081
3-Dec,2039,0.014,0.082,0.079
10-Dec,2039,0.011,0.079,0.078
17-Dec,2039,0.012,0.077,0.076
24-Dec,2039,0.009,0.065,0.065
1-Jan,2040,0.013,0.092,0.085
8-Jan,2040,0.01,0.089,0.083
15-Jan,2040,0.011,0.086,0.082
22-Jan,2040,0.01,0.083,0.08
29-Jan,2040,0.012,0.081,0.079
5-Feb,2040,0.01,0.079,0.078
12-Feb,2040,0.012,0.077,0.077
19-Feb,2040,0.01,0.076,0.076
26-Feb,2040,0.011,0.066,0.072
5-Mar,2040,0.01,0.073,0.074
12-Mar,2040,0.012,0.072,0.073
19-Mar,2040,0.011,0.072,0.073
26-Mar,2040,0.012,0.071,0.072
2-Apr,2040,0.012,0.071,0.071
9-Apr,2040,0.012,0.07,0.071
16-Apr,2040,0.011,0.069,0.07
23-Apr,2040,0.012,0.068,0.069
30-Apr,2040,0.011,0.067,0.068
7-May,2040,0.012,0.066,0.067
14-May,2040,0.012,0.065,0.067
21-May,2040,0.013,0.064,0.066
28-May,2040,0.012,0.064,0.066
4-Jun,2040,0.013,0.065,0.065
11-Jun,2040,0.013,0.065,0.065
